1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
2,Operating,Chondola,Fixed Grip Chondola 4/6,Leitner-Poma,2017-,1100,528,2099,150,200,112,13,Top,Top,10.5,,anakeesta-tn/
2,Operating,Hollywood,Triple,,,,,,,,37,6,Top,Bottom,,Relocated.,andes-tower-hills-mn/
3,Operating,Little America,Quad,Riblet,1990-,,,,,,59,13,Bottom,Bottom,,Relocated.,andes-tower-hills-mn/
4,Operating,Milky Way,Triple,,1980-,,,,,,42,6,Top,Bottom,,Relocated. Originally a double,andes-tower-hills-mn/
2,Operating,Chile Express,High Speed Quad,Poma,1996-,1800,2067,10992,900,1200,141,34,Top,Dual,9.2,,angel-fire-nm/
3,Operating,Dreamcatcher,Double,Riblet,1979-,1200,150,833,,300,52,8,Top,Bottom,2.8,,angel-fire-nm/
4,Operating,Lift 2,Double,Riblet,1966-,700,385,1900,,450,50,10,Bottom,Top,4.2,,angel-fire-nm/
5,Operating,Lift 3,Double,Riblet,1966-,570,447,2204,,450,,8,Top,Bottom,4.9,,angel-fire-nm/
6,Operating,Southwest Flyer,High Speed Quad,Leitner,1998-,2400,1140,5020,600,1000,80,18,Top,Bottom,5,,angel-fire-nm/
7,Removed,Lift 1,Double,Riblet,1966-1979,1300,194,1320,,450,,,,,2.9,,angel-fire-nm/
8,Removed,Lift 4,Triple,Riblet,1979-1996,1600,950,5897,,450,,,,,13.1,,angel-fire-nm/
9,Removed,Lift 5,Triple,Riblet,1979-1996,1600,1110,5841,,450,,,,,13,,angel-fire-nm/
10,Removed,Lift 6,Double,Riblet,1966-1998,1200,951,3250,,450,,,,,7.2,,angel-fire-nm/
2,Operating,Bighorn,Double,Riblet,1988-,1200,960,3816,,,108,,Bottom,Bottom,,"Relocated from Crystal Mountain, WA",antelope-butte-wy/
3,Operating,Deer Park,Double,Riblet,1996-,900,152,,,,38,8,Bottom,Bottom,,Relocated with SLI chairs,antelope-butte-wy/
