1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
23,Removed,Beaver Lake,Double,Riblet,1969-1997,1400,300,1005,,,,,,Bottom,,,the-summit-at-snoqualmie-wa/
24,Removed,Big Bill,Double,Riblet,1964-1997,1200,700,2782,,,,,,,,,the-summit-at-snoqualmie-wa/
25,Removed,Bonanza,Double,Riblet,1966-1998,1200,934,3760,,450,,,,,8.4,,the-summit-at-snoqualmie-wa/
26,Removed,Debbie's Gold,Double,Riblet,1967-1998,1200,1252,4030,,500,,,,,8.1,,the-summit-at-snoqualmie-wa/
27,Removed,Dinosaur,Double,Murray-Latta,1965-1988,1000,1608,5200,,500,,,Bottom,Top,10.4,,the-summit-at-snoqualmie-wa/
28,Removed,Easy Gold,Double,Riblet,1968-2010,1200,281,1464,,450,,7,Bottom,Bottom,3.3,,the-summit-at-snoqualmie-wa/
29,Removed,Easy Rider,Triple,Thiokol,1975-2018,1600,284,1120,,350,,6,Bottom,Bottom,3.2,,the-summit-at-snoqualmie-wa/
30,Removed,Hidden Valley,Double,Riblet,2010-2022,,,,,,,13,Top,Top,,Relocated from Keechelus,the-summit-at-snoqualmie-wa/
31,Removed,Holiday,Double,Riblet,1975-2019,1200,261,1384,,350,58,11,Bottom,Top,4,,the-summit-at-snoqualmie-wa/
32,Removed,Keechelus,Double,Riblet,1974-2009,1150,878,2584,,450,,12,Bottom,Bottom,5.7,,the-summit-at-snoqualmie-wa/
33,Removed,Paradise,Platter,Poma,1964-,800,400,1600,,,,,,,,,the-summit-at-snoqualmie-wa/
34,Removed,Platter Pull,Platter,Doppelmayr,1971-1998,950,320,1140,,,,,,,,,the-summit-at-snoqualmie-wa/
35,Removed,Silver Fir,Triple,Riblet,1988-2008,1800,1026,3862,250,450,176,25,Bottom,Bottom,8.6,,the-summit-at-snoqualmie-wa/
36,Removed,Single Chair,Single,,-1983,,,,,,,,,,,,the-summit-at-snoqualmie-wa/
37,Removed,Thunderbird,Double,Heron,1955-2002,,,,,,,,Bottom,Top,,,the-summit-at-snoqualmie-wa/
38,Removed,,Platter,Poma,1964-,750,345,1500,,,,,,,,,the-summit-at-snoqualmie-wa/
2,Operating,Chairlift,Double,SLI,,,,,50,,54,10,Bottom,Bottom,,Relocated,thrill-hills-nd/
3,Removed,T-Bar,T-Bar,Hall,-2015,,,,100,,,7,Bottom,Top,,,thrill-hills-nd/
2,Operating,Double,Double,Borvig,1971-,900,400,2500,,350,104,15,Bottom,Top,7.1,Midstation,thunder-ridge-ny/
3,Operating,Little Thunder,Double,Borvig,1963-,800,130,800,,,25,3,Bottom,Bottom,,,thunder-ridge-ny/
4,Operating,Triple,Triple,Borvig,1986-,1800,297,1192,,450,52,8,Bottom,Bottom,2.6,,thunder-ridge-ny/
5,Removed,,T-Bar,Borvig,1963-,230,120,800,,,,,,,,,thunder-ridge-ny/
6,Removed,,T-Bar,Borvig,1963-,300,125,700,,,,,,,,,thunder-ridge-ny/
7,Removed,,Double,Borvig,1967-,1000,301,1254,,450,,,,,2.8,,thunder-ridge-ny/
8,Removed,T-Bar,T-Bar,Hall,-2012,,,,,,,6,Bottom,Top,,,thunder-ridge-ny/
2,Operating,Chair 1,Double,Poma,1971-,1000,205,1000,,500,,5,Bottom,Top,2,,timber-ridge-mi/
3,Operating,Chair 2,Double,Hall,,,,,,,,8,Bottom,Bottom,,,timber-ridge-mi/
4,Operating,Chair 3,Triple,Hall,1977-,1800,208,1374,,400,,9,Bottom,Bottom,3.4,,timber-ridge-mi/
5,Operating,Chair 4,Quad,Hall,1982-,2100,165,1079,,365,,9,Bottom,Bottom,3,,timber-ridge-mi/
6,Removed,Poma,Platter,Poma,1969-2015,666,135,897,,420,,,,,2.1,,timber-ridge-mi/
2,Operating,Bruno's,Double,Poma,1987-,800,46,365,50,300,16,1,Bottom,Top,1.2,,timberline-lodge-or/
3,Operating,Jeff Flood,High Speed Quad,Doppelmayr CTEC,2007-,1800,1215,6784,500,1000,,18,Top,Bottom,6.8,,timberline-lodge-or/
4,Operating,Magic Mile,High Speed Quad,Poma,1992-,3000,1089,5472,600,1100,76,21,Top,Bottom,5,,timberline-lodge-or/
5,Operating,Molly's,High Speed Quad,Doppelmayr,2000-,1200,828,4962,300,1000,52,19,Top,Bottom,5,,timberline-lodge-or/
6,Operating,Palmer,High Speed Quad,Doppelmayr,1996-,1800,1526,5564,600,1000,88,25,Bottom,Top,5.6,Midstation on uphill side only that is used only during the summer months. Storms snapped towers in December 1998 and 1999 requiring repairs,timberline-lodge-or/
7,Operating,Pucci,High Speed Quad,Doppelmayr,2020-,1815,587,3256,215,1000,55,13,Top,,3.2,,timberline-lodge-or/
8,Operating,Stormin' Norman,High Speed Quad,Doppelmayr,2000-,1500,784,4325,300,1000,58,22,Top,Bottom,4.3,,timberline-lodge-or/
9,Operating,Summit,Double,Riblet,1980-,1200,306,2310,,400,,,Bottom,Bottom,5.8,,timberline-lodge-or/
10,Removed,Blossom,Double,Riblet,-2000,,,,,,,,,,,,timberline-lodge-or/
11,Removed,Magic Mile,Double,Riblet,1962-1992,,,,,,,,,,,Midstation,timberline-lodge-or/
12,Removed,Magic Mile,Single,Riblet,1938-1962,255,997,4950,,450,92,22,,,11,,timberline-lodge-or/
13,Removed,Palmer,Double,Riblet,1978-1996,900,1642,5721,,500,,,,,11.4,"Many towers snapped during the first winter, and each tower was made into a tripod in the summer of 1978",timberline-lodge-or/
14,Removed,Pucci,Double,Riblet,1956-1987,,,,,,,,,,,,timberline-lodge-or/
15,Removed,Pucci,Triple,Poma,1987-2020,1800,586,3376,170,450,,,Top,Bottom,7.5,,timberline-lodge-or/
16,Removed,Victoria Station,Double,Riblet,1966-2000,750,853,5038,,500,,,,,10.1,,timberline-lodge-or/
17,Removed,,Platter,Poma,1965-,400,240,1200,,420,,,,,2.9,,timberline-lodge-or/
18,Removed,,Platter,Poma,1964-,300,350,1200,,,,,,,,,timberline-lodge-or/
2,Operating,Quad,Quad,Doppelmayr,2020-,2375,350,1652,130,450,65,8,Bottom,Bottom,3.7,,timberline-mountain-wv/
3,Operating,6 Person,High Speed Six,Doppelmayr,2020-,3200,972,3920,642,1000,57,12,Bottom,,3.9,,timberline-mountain-wv/
4,Removed,Gobbler's Gulch,Double,Borvig,1992-2019,,90,300,,,,,,,,Relocated,timberline-mountain-wv/
5,Removed,Silver Queen,Triple,Heron-Poma,1993-2019,,950,3900,,,,,Top,Bottom,,"Relocated from Crested Butte, CO",timberline-mountain-wv/
6,Removed,Thunderstruck,Triple,Borvig,1986-2019,1800,974,4152,,500,,17,Bottom,Bottom,8.3,Midstation,timberline-mountain-wv/
2,Operating,1,T-Bar,,,,,,,,,8,Bottom,Top,,,titcomb-mountain-me/
3,Operating,2,T-Bar,,,,,,,,,6,Bottom,Top,,,titcomb-mountain-me/
2,Operating,1,Double,Hall,1990-,,,,,,80,10,Bottom,Bottom,,Relocated,titus-mountain-ny/
3,Operating,3,Double,Hall,2005-,,,,,,27,4,Bottom,Bottom,,Relocated,titus-mountain-ny/
4,Operating,4,Triple,Hall,1981-,1770,466,3055,,460,127,15,Bottom,Bottom,6.6,,titus-mountain-ny/
5,Operating,5,Double,Hall,1995-,,,,,,82,9,Bottom,Bottom,,Relocated,titus-mountain-ny/
6,Operating,6,Double,Hall,1992-,,,,,,130,16,Bottom,Bottom,,Relocated. Lengthened in 2004,titus-mountain-ny/
7,Operating,7,Double,Hall,1989-,,,,,,36,7,Bottom,Bottom,,Relocated,titus-mountain-ny/
8,Operating,8,Triple,Hall,1989-,,,,,,133,23,Bottom,Top,,Relocated,titus-mountain-ny/
9,Removed,2,Double,Hall,1962-2018,,,,,,,12,Bottom,Top,,,titus-mountain-ny/
10,Removed,T-Bar,T-Bar,Doppelmayr,1960-1995,,,,,,,,,,,,titus-mountain-ny/
2,Operating,T̩l̩si̬ge,Double,Poma,,,,,,,,5,Bottom,Top,,,tobo-ski-qc/
2,Standing,North,Double,Hall,2011-2021,,,,,,94,12,Bottom,Bottom,,"Relocated from Holiday Valley, NY",toggenburg-ny/
3,Standing,South,Double,Hall,1971-2021,1200,521,2408,,465,96,12,Bottom,Bottom,5.2,,toggenburg-ny/
4,Standing,Triple,Triple,Borvig,1986-2021,1800,538,1925,,450,79,7,Bottom,Bottom,4.3,,toggenburg-ny/
5,Removed,T-Bar,T-Bar,Hall,,,,,,,,9,Bottom,Top,,,toggenburg-ny/
2,Operating,SkyTrail,Pulse Gondola 6,Poma,2001-,308,571,1570,300,1100,8,6,Bottom,Bottom,8,,trees-of-mystery-ca/
2,Operating,Chair 1,Triple,Garaventa CTEC,1995-,1800,185,1150,60,385,,6,Bottom,Bottom,3,,treetops-mi/
3,Operating,Chair 2,Triple,CTEC,1988-,1800,228,1132,60,385,,7,Bottom,Bottom,2.9,,treetops-mi/
4,Operating,Chair 3,Triple,CTEC,1984-,1800,230,1325,,400,,9,Bottom,Bottom,3.3,,treetops-mi/
5,Removed,Chair 1,Double,Poma,,,,,,,,,Bottom,Top,,,treetops-mi/
6,Removed,Chair 2,Double,Poma,,,,,,,,,Bottom,Top,,,treetops-mi/
7,Removed,,Platter,Poma,1968-,,,,,,,,,,,,treetops-mi/
8,Removed,,Platter,Poma,1963-,800,175,1025,,,,,,,,,treetops-mi/
2,Operating,Cabriolet,Cabriolet 6,Doppelmayr,1994-,2400,88,1100,150,790,26,4,Bottom,Top,1.4,,tremblant-qc/
3,Operating,Casino Express,Gondola 8,Doppelmayr,2008-,1280,234,5327,300,1000,,15,Bottom,Top,5.3,,tremblant-qc/
4,Operating,Duncan Express,High Speed Quad,Doppelmayr,1991-,2800,1712,7670,900,1000,174,31,Top,Dual,7.7,,tremblant-qc/
5,Operating,Edge,Quad,Doppelmayr,1993-,,,,,,,16,Bottom,Bottom,,Relocated from TGV,tremblant-qc/
6,Operating,Expo,High Speed Quad,Poma,1993-,2400,1089,4111,600,1100,99,17,Bottom,Dual,3.7,,tremblant-qc/
7,Operating,Flying Mile,High Speed Quad,Doppelmayr,1994-,2800,1096,3953,600,985,93,18,Top,Top,4,,tremblant-qc/
8,Operating,Gondola,Gondola 8,Doppelmayr,1998-,2880,2026,8429,1200,1200,,24,Top,Bottom,7,,tremblant-qc/
9,Operating,Le Soleil,High Speed Quad,Doppelmayr,1998-,,,,,,140,24,Top,Bottom,,Relocated from Tremblant Express,tremblant-qc/
10,Operating,Lowell Thomas Express,High Speed Quad,Doppelmayr,2018-,2400,861,3282,330,1000,74,12,Bottom,Top,3.3,,tremblant-qc/
11,Operating,Porte du Soleil,Triple,Doppelmayr,1993-,,,,,,,11,Bottom,Bottom,,Relocated from Flying Mile,tremblant-qc/
12,Operating,TGV,High Speed Quad,Poma,1993-,1800,1128,4429,600,1100,92,15,Bottom,Dual,4,Bottom terminal burned 10/12/14,tremblant-qc/
13,Removed,Flying Mile,Quad,Doppelmayr,1980-1993,1800,866,3450,,450,,,,,7.7,,tremblant-qc/
14,Removed,Lowell Thomas,Triple,Doppelmayr,1980-2018,1800,1080,4000,,460,,15,Bottom,Bottom,8.7,,tremblant-qc/
15,Removed,TGV,Quad,Doppelmayr,1985-1993,1700,1160,4420,,500,,,,,8.8,,tremblant-qc/
16,Removed,Tremblant Express,High Speed Quad,Doppelmayr,1988-1998,2800,2000,8400,1000,1000,,,,,8.4,,tremblant-qc/
17,Removed,,T-Bar,Doppelmayr,1988-,1200,660,2800,125,760,,,,,3.7,,tremblant-qc/
18,Removed,,Double,Poma,1972-,1100,1215,4552,,480,,,,,9.5,,tremblant-qc/
19,Removed,,Double,Poma,1972-,1100,1030,4458,,480,,,,,9.3,,tremblant-qc/
20,Removed,,Double,Poma,1969-,1200,1074,4200,,480,,,,,8.8,,tremblant-qc/
21,Removed,,Double,Poma,1966-,1200,1159,4702,,500,,,,,9.4,,tremblant-qc/
2,Operating,Chair 2,Quad,Partek,2021-,1700,223,1107,75,400,40,7,Bottom,Bottom,2.8,,trollhaugen-wi/
3,Operating,Chair 3,Quad,Borvig,1977-,2400,215,1037,,400,,7,Bottom,Bottom,2.6,,trollhaugen-wi/
4,Operating,Chair 4,Quad,Borvig,1976-,2400,213,1420,,400,,9,Bottom,Bottom,3.6,,trollhaugen-wi/
5,Removed,Chair 1,Double,Hall,1969-2021,1200,216,1089,,465,,7,Bottom,Bottom,2.3,,trollhaugen-wi/
6,Removed,,T-Bar,Hall,1964-,900,85,1128,,,,,,,,,trollhaugen-wi/
7,Removed,,T-Bar,Hall,1963-,1000,207,1500,,,,,,,,,trollhaugen-wi/
2,Operating,Chairlift,Double,Riblet,2001-,,2110,5004,200,450,168,31,Bottom,Bottom,11.1,"Relocated from Stevens Pass, WA. Midstation.",turner-mountain-mt/
3,Removed,T-Bar,T-Bar,,-2001,,,,,,,,,,,,turner-mountain-mt/
2,Operating,Little Bear,Double,Borvig,,,,,,,22,3,Bottom,Bottom,,,tussey-mountain-pa/
3,Operating,Tussey,T-Bar,Hall,,,,,,,,10,Bottom,Top,,,tussey-mountain-pa/
4,Operating,Utah,Quad,Borvig,1982-,2400,447,1524,,400,75,10,Bottom,Bottom,3.8,,tussey-mountain-pa/
2,Operating,Chair Lift,Double,Goforth Brothers,1961-,,,,,,40,6,Bottom,Top,,,tweetsie-railroad-nc/
2,Operating,A,Triple,Borvig,1989-,1800,251,1171,60,450,,5,Bottom,Bottom,2.6,,tyrol-basin-wi/
3,Operating,B,Triple,Borvig,1991-,1800,242,1094,60,450,,5,Bottom,Bottom,2.4,,tyrol-basin-wi/
4,Operating,C,Triple,Partek,2000-,1600,251,1041,75,400,,5,Bottom,Bottom,2.6,,tyrol-basin-wi/
5,Removed,,Double,Mueller,1964-,900,240,1280,,,,,,,,,tyrol-basin-wi/
6,Removed,,Double,Mueller,1963-,900,225,1200,,,,,,,,,tyrol-basin-wi/
7,Removed,T-Bar,T-Bar,Hall,1960-1991,,,,,,,,,,,,tyrol-basin-wi/
2,Operating,Quad,Quad,Doppelmayr,2012-,2400,98,699,60,450,30,4,Bottom,Bottom,1.6,,uplands-on/
3,Removed,,T-Bar,Poma,1970-2012,1200,100,734,,420,,,,,1.7,,uplands-on/
4,Removed,,T-Bar,Poma,1968-2012,1100,90,695,,420,,,,,1.7,,uplands-on/
2,Operating,Alpine,Quad,Garaventa CTEC,2019-,,,,,,58,5,Top,Bottom,,"Relocated from Deer Valley, UT",utah-olympic-park-ut/
3,Operating,Freestyle,Double,Garaventa CTEC,1999-,300,380,1003,30,450,11,2,Bottom,Bottom,2.2,,utah-olympic-park-ut/
4,Operating,Game Changer,High Speed Quad,Doppelmayr,2022-,2400,1196,3447,455,1000,,,,,3.4,,utah-olympic-park-ut/
5,Operating,Nordic,Double,CTEC,1992-,550,460,1210,40,450,33,6,Bottom,Bottom,2.7,Midstation,utah-olympic-park-ut/
2,Operating,1 One,Gondola 10,Leitner-Poma,2012-,3600,1996,9308,1400,1200,,23,Top,,7.8,,vail-co/
3,Operating,2 Avanti Express,High Speed Six,Doppelmayr,2015-,3600,1466,6640,859,1000,,26,Top,Bottom,6.6,,vail-co/
4,Operating,3 Wildwood Express,High Speed Quad,Garaventa CTEC,1995-,2800,852,3350,500,984,76,18,Top,Bottom,3.4,,vail-co/
5,Operating,4 Mountaintop Express,High Speed Six,Doppelmayr,2013-,3600,1108,4284,780,1000,92,15,Top,Bottom,4.3,,vail-co/
6,Operating,5 High Noon Express,High Speed Quad,Leitner-Poma,2010-,2400,1852,5570,750,1000,,20,Top,Dual,5.6,,vail-co/
7,Operating,6 Riva Bahn Express,High Speed Quad,Garaventa CTEC,1996-,2800,1705,9051,1000,984,196,37,Top,Bottom,9.1,Angled midstation,vail-co/
8,Operating,7 Game Creek Express,High Speed Six,Leitner-Poma,2022-,3200,1184,4484,900,1000,,,,,4.5,,vail-co/
9,Operating,8 Born Free Express,High Speed Quad,Doppelmayr,1988-,2800,1593,6076,700,1000,155,24,Top,Bottom,6.1,,vail-co/
10,Operating,9 Sun Up Express,High Speed Quad,Leitner-Poma,2016-,2400,1109,3874,500,1000,82,14,Top,Dual,3.9,,vail-co/
11,Operating,10 Highline Express,High Speed Quad,Leitner-Poma,2007-,2400,1755,6729,700,1000,140,21,Top,Dual,6.7,,vail-co/
12,Operating,11 Northwoods Express,High Speed Six,Leitner-Poma,2017-,3000,1545,5905,900,1000,103,20,Top,Dual,5.9,,vail-co/
13,Operating,12 Gopher Hill,Triple,Doppelmayr,2013-,1600,146,937,,400,,7,Top,Bottom,2.3,"Relocated from Beaver Creek, CO",vail-co/
14,Operating,14 Sourdough Express,High Speed Quad,Leitner-Poma,2007-,2400,512,2437,300,1000,52,8,Top,Dual,2.4,,vail-co/
15,Operating,15 Little Eagle,Triple,Doppelmayr,2007-,135,111,1012,,400,,6,Bottom,Bottom,2.5,Relocated from Sourdough with a Yan drive station,vail-co/
16,Operating,16 Golden Peak,T-Bar,Doppelmayr,2019-,1200,683,2137,215,591,74,11,Bottom,Bottom,3.6,,vail-co/
17,Operating,17 Sun Down Express,High Speed Quad,Leitner-Poma,2022-,2400,1586,6106,800,1000,,,,,6.1,,vail-co/
18,Operating,19 Eagle Bahn Gondola,Gondola 12,Garaventa CTEC,1996-,3000,2215,9148,1600,1181,50,22,Top,Bottom,7.7,,vail-co/
19,Operating,20 Cascade Village,Quad,CTEC,1987-,1800,1278,3497,400,450,118,18,Top,Bottom,7.8,,vail-co/
20,Operating,21 Orient Express,High Speed Quad,Doppelmayr,1988-,2400,1565,7658,800,1000,165,28,Top,Bottom,7.7,,vail-co/
21,Operating,22 Mongolia,Platter,Doppelmayr,1988-,503,312,1611,,412,,6,Bottom,Top,3.9,,vail-co/
22,Operating,24 Wapiti,Platter,Poma,1992-,701,17,710,,413,,,Bottom,Top,1.7,,vail-co/
23,Operating,26 Pride Express,High Speed Quad,Garaventa CTEC,1993-,2800,1225,5415,600,984,113,19,Top,Bottom,5.5,,vail-co/
24,Operating,27 Black Forest,Platter,Doppelmayr,1995-,650,401,1919,,650,,9,Bottom,Top,3,,vail-co/
25,Operating,36 Teacup Express,High Speed Quad,Poma,1999-,1200,1266,6704,900,1100,126,19,Top,Dual,6.1,,vail-co/
26,Operating,37 Skyline Express,High Speed Quad,Poma,1999-,1800,1936,8391,900,1100,157,26,Top,Dual,7.6,,vail-co/
27,Operating,38 Earl's Express,High Speed Quad,Poma,1999-,1200,1357,4834,500,1100,47,13,Top,Dual,4.4,,vail-co/
28,Operating,39 Pete's Express,High Speed Quad,Poma,2000-,1800,1582,6677,600,1100,94,17,Top,Dual,6.1,,vail-co/
29,Removed,Vail Village Gondola,Gondola 4,Bell,1962-1976,,,,,,,,,,,,vail-co/
30,Removed,1 Giant Steps,Double,Riblet,1962-2006,,,,,,,,Top,Bottom,,,vail-co/
31,Removed,2 Avanti,Double,Riblet,1962-1976,,,,,,,,,,,,vail-co/
32,Removed,3 Hunky Dory,Double,Riblet,1964-1988,1200,800,3340,,,,,,,,,vail-co/
33,Removed,4 Mountaintop,Double,Riblet,1964-1976,970,1165,4685,,,,,,,,,vail-co/
34,Removed,5 High Noon,Double,Riblet,1964-1979,1050,1300,6150,,,,,,,,,vail-co/
35,Removed,6 Golden Peak,Double,Riblet,1967-1996,1130,1528,6114,,,,,,,,,vail-co/
36,Removed,7 Game Creek,Double,Riblet,1969-1985,1200,1181,4576,,,,,,,,,vail-co/
37,Removed,8 Born Free,Double,Riblet,1972-1988,1200,1408,5869,250,500,,,,,11.7,,vail-co/
38,Removed,10 Highline,Double,Riblet,1973-2007,1150,1762,6987,,500,,,Top,Bottom,14,,vail-co/
39,Removed,11 Northwoods,Double,Riblet,1974-1985,1200,1525,5484,,500,,,,,11,,vail-co/
40,Removed,14 Sourdough,Triple,Yan,1975-2007,1800,510,2390,,450,,,Bottom,Bottom,5.3,,vail-co/
41,Removed,15 Little Eagle,Double,Yan,1975-2007,1200,111,822,,350,,,,,2.3,,vail-co/
42,Removed,17 Upper Mid Vail,Double,Yan,1976-1989,1200,1338,6300,,500,,,,,12.6,,vail-co/
43,Removed,17 Sun Up,Triple,Doppelmayr,1992-2016,,,,,,133,14,Bottom,Bottom,,"Relocated from Beaver Creek, CO",vail-co/
44,Removed,2 Avanti,Double,Yan,1976-1989,1200,1406,6110,,500,,,,,12.2,,vail-co/
45,Removed,4 Mountaintop,Triple,Yan,1976-1985,1800,1100,4360,,475,,,,,9.2,,vail-co/
46,Removed,16 Vail Village,Double,Yan,1976-1985,1200,1156,4430,,500,,,,,8.9,,vail-co/
47,Removed,23 West Wall,Platter,Heron-Poma,1992-2000,,10,,,,,,,,,"Relocated from Indian Mountain, CO",vail-co/
48,Removed,3 Hunky Dory,Quad,Yan,1988-1995,,,,,,,,,,,Relocated,vail-co/
49,Removed,Poma,Platter,Heron-Poma,1972-,900,100,600,15,480,,,,,1.3,,vail-co/
50,Removed,Lionshead,Gondola 4,Bell,1969-1996,500,1932,9538,,,,,,,,Retrofitted by VonRoll in 1976,vail-co/
51,Removed,Poma,Platter,Poma,1967-,600,94,643,,400,,,,,1.6,,vail-co/
52,Removed,9 Minnie's,Double,Riblet,1972-2008,1200,1167,4786,200,500,163,26,Top,Bottom,9.6,Shortened in 1993,vail-co/
53,Removed,16 Vista Bahn Express,High Speed Quad,Doppelmayr,1985-2012,2650,1988,9045,,1000,216,33,Top,Bottom,9,Bubbles removed in 2004,vail-co/
54,Removed,5 High Noon,Triple,Doppelmayr,1979-2010,1400,1856,5540,,500,175,20,Top,Bottom,11.1,,vail-co/
55,Removed,4 Mountaintop Express,High Speed Quad,Doppelmayr,1985-2013,2800,1107,4310,,1000,113,16,Top,Bottom,4.3,,vail-co/
56,Removed,12 Gopher Hill,Double,Riblet,1974-2013,1200,146,945,,350,,,Top,Bottom,2.7,Yan drive station,vail-co/
57,Removed,2 Avanti Express,High Speed Quad,Doppelmayr,1989-2015,2800,1466,6588,700,1000,167,25,Top,Bottom,6.6,,vail-co/
58,Removed,23 West Wall,Handle Tow,Doppelmayr,2000-2007,,21,,,,,,Top,Bottom,3,,vail-co/
59,Removed,11 Northwoods Express,High Speed Quad,Doppelmayr,1985-2017,2800,1528,5564,,1000,129,23,Top,Bottom,5.6,,vail-co/
60,Removed,7 Game Creek Express,High Speed Quad,Doppelmayr,1985-2022,2800,1107,4357,,1000,112,15,Top,Bottom,4.4,,vail-co/
2,Operating,Double,Double,Borvig,1973-,1200,253,1578,,450,60,10,Bottom,Bottom,3.5,,val-bialas-ny/
3,Removed,,High Speed Double,Mohawk,1968-1973,2400,275,1590,,650,,,,,2.4,Primitive detachable grips,val-bialas-ny/
4,Removed,,T-Bar,Hall,1964-,1200,221,1374,,,,,,,,,val-bialas-ny/
2,Operating,A,Quad,Doppelmayr CTEC,2009-,2000,800,2988,250,450,,,Bottom,Bottom,6.6,,val-direne-qc/
3,Operating,B,T-Bar,Doppelmayr,1983-,1000,800,3030,,735,,,Bottom,Top,4.1,,val-direne-qc/
4,Removed,,Platter,Samson,1977-,500,143,940,,390,,,,,2.4,,val-direne-qc/
5,Removed,,Double,Samson,1977-2009,1200,823,2930,,495,,,Bottom,Bottom,5.9,,val-direne-qc/
2,Operating,T-Bar,T-Bar,Samson,1971-,800,101,850,,450,,4,Bottom,Top,1.9,,val-dor-qc/
2,Operating,Bleu,Platter,Timberland-Ellicott,,,,,,,,5,Top,Bottom,,,val-mauricie-qc/
3,Operating,Jaune,T-Bar,Samson,,,,,,,,6,Bottom,Top,,,val-mauricie-qc/
4,Operating,Rouge,T-Bar,Samson,,,,,,,,4,Bottom,Top,,,val-mauricie-qc/
2,Operating,A,T-Bar,Doppelmayr,1979-,1200,315,2250,,610,,7,Bottom,Top,3.7,,val-saint-come-qc/
3,Operating,B,Triple,Doppelmayr,1980-,1800,660,2190,,450,,10,Bottom,Bottom,4.9,,val-saint-come-qc/
4,Operating,C,Quad,Doppelmayr,1984-,2400,660,2250,,440,,10,Bottom,Bottom,5.1,,val-saint-come-qc/
5,Operating,D,High Speed Quad,Doppelmayr,1988-,2300,580,2400,,,,9,Bottom,Bottom,,Converted from a fixed quad to detachable,val-saint-come-qc/
2,Operating,A,Quad,Doppelmayr,1988-,2400,340,1700,125,375,,9,Bottom,Bottom,4.5,,vallee-bleue-qc/
3,Operating,B,Triple,Doppelmayr,1981-,1800,320,1200,,390,,6,Bottom,Bottom,3.1,,vallee-bleue-qc/
4,Removed,,Platter,Poma,1965-2005,600,,,,,,4,Bottom,Top,,,vallee-bleue-qc/
5,Removed,,T-Bar,Samson,1979-,1200,324,1760,,485,,,,,3.6,,vallee-bleue-qc/
6,Removed,,T-Bar,Samson,1973-,1200,324,1760,,450,,,,,3.9,,vallee-bleue-qc/
7,Removed,,T-Bar,Mueller,1963-,900,130,600,,,,,,,,,vallee-bleue-qc/
2,Operating,Inter,T-Bar,Samson,1974-,1200,385,1865,,450,,9,Bottom,Top,4.1,,vallee-du-parc-qc/
3,Operating,L'Envol̩e,Quad,Doppelmayr CTEC,2009-,2200,482,2867,200,450,,13,Bottom,Bottom,6.4,,vallee-du-parc-qc/
4,Operating,L'Expert,Quad,Doppelmayr,2018-,1800,477,2547,134,450,89,10,Bottom,Bottom,5.7,,vallee-du-parc-qc/
5,Removed,,Double,Samson,1972-2009,1000,480,3045,,486,,,,,6.3,,vallee-du-parc-qc/
6,Removed,,T-Bar,Samson,1972-,900,185,1000,,450,,7,Bottom,Top,2.2,,vallee-du-parc-qc/
7,Removed,,T-Bar,Samson,1972-,1200,350,1500,,450,,12,Bottom,Top,3.3,,vallee-du-parc-qc/
8,Removed,,T-Bar,Samson,,,,,,,,,,,,,vallee-du-parc-qc/
2,Operating,T-Bar,T-Bar,Hopkins,1967-,,,,,,,11,Bottom,Top,,,veterans-memorial-nh/
2,Operating,Triple,Triple,Borvig,1983-,1800,513,2295,,500,92,9,Bottom,Bottom,4.6,,victor-constant-ny/
2,Operating,Chairlift,Quad,Doppelmayr,2011-,2400,125,940,60,400,47,5,Bottom,Top,2.4,,villa-olivia-il/
3,Removed,Chairlift,Quad,Borvig,1975-2011,2400,126,932,,400,,6,Bottom,Bottom,2.3,,villa-olivia-il/
2,Operating,Chairlift,Double,Borvig,1983-,1000,190,1462,,400,,6,Bottom,Bottom,3.7,,villa-roma-ny/
3,Removed,T-Bar,T-Bar,Hall,,,,,,,,6,Bottom,Top,,,villa-roma-ny/
2,Operating,Minuteman Express,High Speed Quad,Doppelmayr,1999-,2600,600,3516,400,1000,82,15,Bottom,Bottom,3.5,,wachusett-mountain-ma/
3,Operating,Monadnock Express,High Speed Quad,Doppelmayr,2011-,2400,299,2205,200,1000,,12,Bottom,Top,2.2,,wachusett-mountain-ma/
4,Operating,Polar Express,High Speed Quad,Doppelmayr,1994-,2800,944,4307,500,950,81,15,Bottom,Top,4.5,,wachusett-mountain-ma/
5,Operating,Vickery Bowl,Triple,Doppelmayr,2004-,,,1500,,,,6,Bottom,Bottom,,Relocated from Nor'Easter,wachusett-mountain-ma/
6,Removed,Nor'easter,Triple,Doppelmayr,1982-1999,1800,600,3750,,460,,,Bottom,Bottom,8.2,,wachusett-mountain-ma/
7,Removed,Monadnock,Double,Doppelmayr,1982-1994,1025,290,2340,,330,,,,,7.1,,wachusett-mountain-ma/
8,Removed,Summit,Triple,Doppelmayr,1982-1994,1800,950,4400,,475,,,Bottom,Bottom,9.3,Upgraded to a triple in 1983,wachusett-mountain-ma/
9,Removed,Monadnock,Triple,Doppelmayr,1994-2011,,,2500,,,,12,Bottom,Bottom,,Relocated from Summit,wachusett-mountain-ma/
10,Removed,Oxbow,T-Bar,Hall,1962-1982,,,,,,,,,,,,wachusett-mountain-ma/
